# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
  2)   0.160 us    |      os_mem_set [nvidia]();
  2)   0.191 us    |      os_is_isr [nvidia]();
  2)   0.180 us    |      os_get_current_thread [nvidia]();
  2)   0.161 us    |      os_semaphore_may_sleep [nvidia]();
  2)   0.291 us    |      os_acquire_spinlock [nvidia]();
  2)   0.160 us    |      os_get_current_thread [nvidia]();
  2)   0.301 us    |      os_get_current_tick [nvidia]();
  2)   0.171 us    |      os_release_spinlock [nvidia]();
  2)   0.161 us    |      os_is_isr [nvidia]();
  2)   0.180 us    |      os_get_current_thread [nvidia]();
  2)   0.291 us    |      os_acquire_spinlock [nvidia]();
  2)   0.150 us    |      os_release_spinlock [nvidia]();
  2)   0.181 us    |      os_mem_set [nvidia]();
  2)   0.160 us    |      os_get_cpu_number [nvidia]();
  2)   0.151 us    |      os_get_current_tick [nvidia]();
  2)   0.160 us    |      os_get_current_tick [nvidia]();
  2)   0.181 us    |      os_get_current_thread [nvidia]();
  2)   0.170 us    |      os_mem_set [nvidia]();
  2)   0.170 us    |      os_mem_set [nvidia]();
  2)   0.160 us    |      os_mem_set [nvidia]();
  2)   0.170 us    |      os_mem_set [nvidia]();
  2)   0.170 us    |      os_mem_set [nvidia]();
  2)   0.160 us    |      os_mem_set [nvidia]();
  2)   0.190 us    |      os_mem_set [nvidia]();
  2)   0.160 us    |      os_get_cpu_number [nvidia]();
  2)   0.190 us    |      os_get_current_tick [nvidia]();
  2)   0.160 us    |      os_get_current_tick [nvidia]();
  2)   0.150 us    |      os_get_current_thread [nvidia]();
  2)   0.161 us    |      os_mem_set [nvidia]();
  2)   0.151 us    |      os_get_cpu_number [nvidia]();
  2)   0.160 us    |      os_is_isr [nvidia]();
  2) + 34.041 us   |    }
  2) + 34.462 us   |  }
 ------------------------------------------
  2)    <idle>-0    =>  irq/42--1186 
 ------------------------------------------

  2)               |  nvidia_isr_msix_kthread_bh [nvidia]() {
  2)   0.501 us    |    os_acquire_mutex [nvidia]();
  2)   0.270 us    |    os_mem_set [nvidia]();
  2)   0.171 us    |    os_is_isr [nvidia]();
  2)   0.200 us    |    os_get_current_thread [nvidia]();
  2)   0.180 us    |    os_mem_set [nvidia]();
  2)   0.160 us    |    os_get_cpu_number [nvidia]();
  2)   0.160 us    |    os_get_current_tick [nvidia]();
  2)   0.160 us    |    os_get_current_tick [nvidia]();
  2)   0.160 us    |    os_get_current_thread [nvidia]();
  2)   0.501 us    |    os_mem_set [nvidia]();
  2)   0.161 us    |    os_mem_set [nvidia]();
  2)   0.171 us    |    os_mem_set [nvidia]();
  2)   0.170 us    |    os_mem_set [nvidia]();
  2)   0.160 us    |    os_mem_set [nvidia]();
  2)   0.170 us    |    os_mem_set [nvidia]();
  2)   0.160 us    |    os_mem_set [nvidia]();
  2)   0.271 us    |    os_get_current_thread [nvidia]();
  2)   0.201 us    |    os_semaphore_may_sleep [nvidia]();
  2)   0.170 us    |    os_get_current_thread [nvidia]();
  2)   0.161 us    |    os_get_current_thread [nvidia]();
  2)   0.311 us    |    os_acquire_spinlock [nvidia]();
  2)   0.160 us    |    os_get_current_tick [nvidia]();
  2)   0.161 us    |    os_release_spinlock [nvidia]();
  2)   9.925 us    |    os_release_semaphore [nvidia]();
  2)   0.200 us    |    os_is_isr [nvidia]();
  2)   0.191 us    |    os_get_current_thread [nvidia]();
  2)   0.160 us    |    os_acquire_spinlock [nvidia]();
  2)   0.161 us    |    os_release_spinlock [nvidia]();
  2)   0.160 us    |    os_is_isr [nvidia]();
  2)   0.201 us    |    os_release_mutex [nvidia]();
  2) + 52.139 us   |  }
 ------------------------------------------
  2)  irq/42--1186  =>    <idle>-0   
 ------------------------------------------

  2)               |  nvidia_isr_msix [nvidia]() {
  2)               |    nvidia_isr [nvidia]() {
  2)   0.350 us    |      os_mem_set [nvidia]();
  2)   0.180 us    |      os_is_isr [nvidia]();
  2)   0.190 us    |      os_mem_set [nvidia]();
  2)   0.160 us    |      os_get_cpu_number [nvidia]();
  2)   0.221 us    |      os_get_current_tick [nvidia]();
  2)   0.170 us    |      os_get_current_tick [nvidia]();
  2)   0.180 us    |      os_get_current_thread [nvidia]();
  2)   0.200 us    |      os_get_cpu_number [nvidia]();
  2)   0.160 us    |      os_is_isr [nvidia]();
